Cents,Name(s),2,3,5,7,11,13,Numerator,Denominator,Tenney Height,Superparticular,Color Notation,FJS name,Tinas,Tredeks,Moria,Quartertones,Edo step 1,Edo step 2,Edo step 3,Edo step 4,Edo step 5,Edo step 6,Edo step 7,Edo step 8
0.72120000,breedsma comma,-5,-1,-2,4,,,2401,2400,22.46,Yes,,,,,,,,,,,,,,
0.74905000,hemigail comma,-7,1,0,-3,4,,43923,43904,30.84,,,,,,,,,,,,,,,
0.74905092,hemigail,,,,,,,43923,43904,30.84,,,,,,,,,,,,,,,
0.79151174,,-2,-14,8,2,0,,19140625,19131876,48.38,,,,5.6,0,,,,,,,,,,
0.81486000,astro comma,91,-12,-31,,,,80753,80715,182.00,,,,,,,,,,,,,,,
0.83252420,ibnsinma,,,,,,,2080,2079,22.04,Yes,,,,,,,,,,,,,,
0.84142604,xenisma,,,,,,,2058,2057,22.01,Yes,,,,,,,,,,,,,,
0.85948450,,18,2,-4,-3,-1,,2359296,2358125,42.34,,,,6.1,0,,,,,,,,,,
0.86182620,ennealimmal comma,,,,,,,7629394531250,7625597484987,85.59,,,,,,,,,,,,,,,
0.86183000,ennealimma comma,1,-27,18,,,,74344,74307,85.59,,,,,,,,,,,,,,,
0.87922846,sesdecal,,,,,,,234375,234256,35.68,,,,,,,,,,,,,,,
0.87923000,sesdecal comma,-4,1,7,0,-4,,157563,157483,35.68,,,,,,,,,,,,,,,
0.88220136,,45,-12,-7,-1,-2,,35184372088832,35166447421875,90.00,,,,6.3,-1,,,,,,,,,,
0.89784481,,-8,3,-4,2,2,,160083,160000,34.58,,,,6.4,0,,,,,,,,,,
0.92056167,,19,-11,-7,4,1,,13846970368,13839609375,67.38,,,,6.6,-1,,,,,,,,,,
0.96815927,,-5,-10,6,0,2,,1890625,1889568,41.70,,,,6.9,0,,,,,,,,,,
0.99984643,approximation to 1 cent,,,,,,,1732,1731,21.52,Yes,,,,,,,,,,,,,,
1.00917173,lummic comma,,,,,,,1716,1715,21.49,Yes,,,,,,,,,,,,,,
1.05587598,,-7,5,5,-2,-2,,759375,758912,39.07,,,,7.5,1,,,,,,,,,,
1.05884889,,42,-8,-9,-3,0,,4398046511104,4395357421875,84.00,,,,7.5,-1,,,,,,,,,,
1.09189000,minortone comma,-16,35,-17,,,,49167,49136,110.95,,,,,,,,,,,,,,,
1.09423629,,-33,6,5,3,1,,8595365625,8589934592,66.00,,,,7.8,1,,,,,,,,,,
1.11695000,wizma comma,-6,-8,2,5,,,238771,238617,37.36,,,,,,,,,,,,,,,
1.11695315,wizma,,,,,,,420175,419904,37.36,,,,,,,,,,,,,,,
1.18492591,,14,8,-10,0,-1,,107495424,107421875,53.36,,,,8.4,0,,,,,,,,,,
1.23252351,,-10,9,3,-4,0,,2460375,2458624,42.46,,,,8.8,1,,,,,,,,,,
1.25524037,,17,-5,0,-2,-1,,131072,130977,34.00,,,,8.9,0,,,,,,,,,,
